t,theta,u
2.15,0.06666311662199138,-0.12120158432182106
2.16,0.0641513173577505,-0.03529616374123259
2.17,0.06170138499454165,0.034714535192996464
2.18,0.05931785652718006,0.09132793670425746
2.19,0.05700398991216854,0.13666479652826657
2.2,0.05476198059406301,0.17252535572940997
2.21,0.052593144725634255,0.2004371516194506
2.22,0.050498074075330225,0.22169572404739205
2.23,0.04847676687240678,0.23739927159834906
2.24,0.04652873820731107,0.2484781557674575
2.25,0.04465311306609394,0.25572001791789845
2.2600000000000002,0.042848704618849966,0.25979116034585414
2.27,0.041114079991558417,0.261254746126541
2.2800000000000002,0.039447615418110614,0.2605862901062059
2.29,0.03784754238614515,0.2581868433078833
2.3000000000000003,0.03631198614923564,0.25439421332184026
2.31,0.034838997772739126,0.24949251241208337
2.32,0.03342658070589622,0.24372028177389424
2.33,0.03207271272404576,0.23727740350506804
2.34,0.030775363958218286,0.23033098045219755
2.35,0.029532511621618324,0.2230203373512663
2.36,0.0283421519507965,0.21546127390775688
2.37,0.027202309801266263,0.20774968106675396
2.38,0.02611104627090643,0.1999646152066591
2.39,0.02506646466798231,0.19217091092424743
2.4,0.02406671509254237,0.18442140110019375
2.41,0.02310999785905174,0.1767588027331907
2.42,0.022194565953340212,0.1692173183436542
2.43,0.02131872668736278,0.16182399535012346
2.44,0.020480842690120588,0.15459987952151882
2.45,0.019679332351710852,0.14756099324355812
2.46,0.01891266981930448,0.14071916476904137
2.47,0.018179384628412038,0.13408273073129864
2.48,0.017478061039685463,0.1276571308872005
2.49,0.01680733714036808,0.121445411235067
2.5,0.016165903760054137,0.11544864925058779
2.5100000000000002,0.015552503242399953,0.10966631293834474
2.52,0.014965928107628217,0.10409656365478344
2.5300000000000002,0.014405019634902753,0.09873651117537795
2.54,0.013868666388768412,0.09358242821597632
2.5500000000000003,0.013355802709717507,0.08862993054311405
2.56,0.012865407185448296,0.08387412789266817
2.57,0.012396501116426584,0.07930975013683383
2.58,0.011948146986867482,0.07493125247587955
2.59,0.01151944695015118,0.07073290286625453
2.6,0.011109541335915622,0.06670885441576051
2.61,0.010717607184579737,0.06285320506715163
2.62,0.010342856813801102,0.05916004654312214
2.63,0.009984536420324852,0.055623504229077025
2.64,0.009641924719805848,0.05223776941770419
2.65,0.009314331626456953,0.04899712512458145
2.66,0.009001096973770646,0.04589596650129822
2.67,0.008701589277060022,0.042928816717065214
2.68,0.008415204538152374,0.04009033904750895
2.69,0.008141365092230273,0.03737534579681452
2.7,0.007879518496539782,0.03477880458368679
2.71,0.007629136460463136,0.032295842440212
2.72,0.007389713816275617,0.02992174810352346
2.73,0.007160767529766165,0.027651972821356594
2.74,0.006941835749792615,0.025482129942608508
2.75,0.006732476895760026,0.023407993521554767
2.7600000000000002,0.00653226878195014,0.021425496128314868
2.77,0.006340807777587825,0.0195307260275456
2.7800000000000002,0.006157708001503359,0.017719923861350257
2.79,0.005982600550234841,0.01598947895035687
2.8000000000000003,0.005815132758410833,0.014335925308222272
2.81,0.005654967490257428,0.012755937448984454
2.82,0.005501782461084922,0.011246326053270474
2.83,0.005355269587625686,0.009804033548015248
2.84,0.005215134366115576,0.00842612964475209
2.85,0.0050810952770354014,0.007109806873421069
2.86,0.004952883215455729,0.005852376141805573
2.87,0.0048302409459570084,0.004651262344933553
2.88,0.004712922581127143,0.0035040000439314355
2.89,0.004600693082669655,0.002408229229734586
2.9,0.0044933277841872265,0.001361691183640385
2.91,0.004390611934737261,0.0003622244438241809
2.92,0.004292340262287965,-0.0005922391154515294
2.93,0.004198316556235102,-0.0015036780871953805
2.94,0.004108353268170824,-0.0023739852145237077
2.95,0.004022271130126759,-0.0032049709512520196
2.96,0.003939898789543645,-0.003998366899638806
2.97,0.0038610724602492212,-0.00475582912559667
2.98,0.0037856355887547805,-0.005478941352430409
2.99,0.003713438535208601,-0.006169218034760518
3.0,0.003644338268371514,-0.006828107314768183
3.0100000000000002,0.0035781980740059896,-0.0074569938632708666
3.02,0.003514887276095411,-0.00805720160842656
3.0300000000000002,0.0034542809703345893,-0.008629996355080613
3.04,0.003396259769356109,-0.009176588297925328
3.0500000000000003,0.0033407095591797345,-0.009698134431749092
3.06,0.0032875212663939233,-0.010195740862116663
3.0700000000000003,0.003236590635599456,-0.010670465019853493
3.08,0.0031878180166653356,-0.011123317782709813
3.09,0.003141108161366467,-0.011555265507561845
3.1,0.0030963700289911916,-0.011967231976468333
3.11,0.0030535166005245694,-0.012360100259847991
3.12,0.003012464701030403,-0.012734714499980879
3.13,0.0029731348298713527,-0.01309188161796156
3.14,0.0029354509984222173,-0.013432372947152448
3.15,0.0028993405749464705,-0.013756925796101271
3.16,0.002864734136320566,-0.01406624494379629
3.17,0.002831565326304304,-0.014361004070043598
3.18,0.0027997707200687685,-0.014641847123656383
3.19,0.002769289694705972,-0.01490938963105506
3.2,0.002740064305456457,-0.015164219947783442
3.21,0.00271203916740267,-0.015406900455354516
3.22,0.002685161342387001,-0.015637968705749006
3.23,0.0026593802309239785,-0.015857938515800755
3.24,0.002634647468886258,-0.016067301013616257
3.25,0.002610916828753712,-0.01626652563909004
