t,theta,u
0.0,0.0,0.0
0.01,0.0,0.0
0.02,0.0,0.0
0.03,0.0,0.0
0.04,0.0,0.0
0.05,0.0,0.0
0.06,0.0,0.0
0.07,0.0,0.0
0.08,0.0,0.0
0.09,0.0,0.0
0.1,0.0,0.0
0.11,0.0,0.0
0.12,0.0,0.0
0.13,0.0,0.0
0.14,0.0,0.0
0.15,0.0,0.0
0.16,0.0,0.0
0.17,0.0,0.0
0.18,0.0,0.0
0.19,0.0,0.0
0.2,0.0,0.0
0.21,0.0,0.0
0.22,0.0,0.0
0.23,0.0,0.0
0.24,0.0,0.0
0.25,0.0,0.0
0.26,0.0,0.0
0.27,0.0,0.0
0.28,0.0,0.0
0.29,0.0,0.0
0.3,0.0,0.0
0.31,0.0,0.0
0.32,0.0,0.0
0.33,0.0,0.0
0.34,0.0,0.0
0.35000000000000003,0.0,0.0
0.36,0.0,0.0
0.37,0.0,0.0
0.38,0.0,0.0
0.39,0.0,0.0
0.4,0.0,0.0
0.41000000000000003,0.0,0.0
0.42,0.0,0.0
0.43,0.0,0.0
0.44,0.0,0.0
0.45,0.0,0.0
0.46,0.0,0.0
0.47000000000000003,0.0,0.0
0.48,0.0,0.0
0.49,0.0,0.0
0.5,0.0,0.0
0.51,0.0,0.0
0.52,0.0,0.0
0.53,0.0,0.0
0.54,0.0,0.0
0.55,0.0,0.0
0.56,0.0,0.0
0.5700000000000001,0.0,0.0
0.58,0.0,0.0
0.59,0.0,0.0
0.6,0.0,0.0
0.61,0.0,0.0
0.62,0.0,0.0
0.63,0.0,0.0
0.64,0.0,0.0
0.65,0.0,0.0
0.66,0.0,0.0
0.67,0.0,0.0
0.68,0.0,0.0
0.6900000000000001,0.0,0.0
0.7000000000000001,0.0,0.0
0.71,0.0,0.0
0.72,0.0,0.0
0.73,0.0,0.0
0.74,0.0,0.0
0.75,0.0,0.0
0.76,0.0,0.0
0.77,0.0,0.0
0.78,0.0,0.0
0.79,0.0,0.0
0.8,0.0,0.0
0.81,0.0,0.0
0.8200000000000001,0.0,0.0
0.8300000000000001,0.0,0.0
0.84,0.0,0.0
0.85,0.0,0.0
0.86,0.0,0.0
0.87,0.0,0.0
0.88,0.0,0.0
0.89,0.0,0.0
0.9,0.0,0.0
0.91,0.0,0.0
0.92,0.0,0.0
0.93,0.0,0.0
0.9400000000000001,0.0,0.0
0.9500000000000001,0.0,0.0
0.96,0.0,0.0
0.97,0.0,0.0
0.98,0.0,0.0
0.99,0.0,0.0
1.0,0.0,0.0
1.01,0.0,0.0
1.02,0.0,0.0
1.03,0.0,0.0
1.04,0.0,0.0
1.05,0.0,0.0
1.06,0.0,0.0
1.07,0.0,0.0
1.08,0.0,0.0
1.09,0.0,0.0
1.1,0.0,0.0
1.11,0.0,0.0
1.12,0.0,0.0
1.1300000000000001,0.0,0.0
1.1400000000000001,0.0,0.0
1.1500000000000001,0.0,0.0
1.16,0.0,0.0
1.17,0.0,0.0
1.18,0.0,0.0
1.19,0.0,0.0
1.2,0.0,0.0
1.21,0.0,0.0
1.22,0.0,0.0
1.23,0.0,0.0
1.24,0.0,0.0
1.25,0.0,0.0
1.26,0.0,0.0
1.27,0.0,0.0
1.28,0.0,0.0
1.29,0.0,0.0
1.3,0.0,0.0
1.31,0.0,0.0
1.32,0.0,0.0
1.33,0.0,0.0
1.34,0.0,0.0
1.35,0.0,0.0
1.36,0.0,0.0
1.37,0.0,0.0
1.3800000000000001,0.0,0.0
1.3900000000000001,0.0,0.0
1.4000000000000001,0.0,0.0
1.41,0.0,0.0
1.42,0.0,0.0
1.43,0.0,0.0
1.44,0.0,0.0
1.45,0.0,0.0
1.46,0.0,0.0
1.47,0.0,0.0
1.48,0.0,0.0
1.49,0.0,0.0
1.5,0.0,0.0
1.51,0.0,0.0
1.52,0.0,0.0
1.53,0.0,0.0
1.54,0.0,0.0
1.55,0.0,0.0
1.56,0.0,0.0
1.57,0.0,0.0
1.58,0.0,0.0
1.59,0.0,0.0
1.6,0.0,0.0
1.61,0.0,0.0
1.62,0.0,0.0
1.6300000000000001,0.0,0.0
1.6400000000000001,0.0,0.0
1.6500000000000001,0.0,0.0
1.6600000000000001,0.0,0.0
1.67,0.0,0.0
1.68,0.0,0.0
1.69,0.0,0.0
1.7,0.0,0.0
1.71,0.0,0.0
1.72,0.0,0.0
1.73,0.0,0.0
1.74,0.0,0.0
1.75,0.0,0.0
1.76,0.0,0.0
1.77,0.0,0.0
1.78,0.0,0.0
1.79,0.0,0.0
1.8,0.0,0.0
1.81,0.0,0.0
1.82,0.0,0.0
1.83,0.0,0.0
1.84,0.0,0.0
1.85,0.0,0.0
1.86,0.0,0.0
1.87,0.0,0.0
1.8800000000000001,0.0,0.0
1.8900000000000001,0.0,0.0
1.9000000000000001,0.0,0.0
1.9100000000000001,0.0,0.0
1.92,0.0,0.0
1.93,0.0,0.0
1.94,0.0,0.0
1.95,0.0,0.0
1.96,0.0,0.0
1.97,0.0,0.0
1.98,0.0,0.0
1.99,0.0,0.0
2.0,0.1,-8.666666666666664
2.0100000000000002,0.09923143333333334,-6.444444444444444
2.02,0.09791652222222223,-4.896353851851852
2.0300000000000002,0.09620932176202594,-3.8118198271604946
2.04,0.0942169954274136,-3.0460326597047995
2.05,0.09201444717147933,-2.4994156358836364
2.06,0.08965438422447099,-2.1035028779242113
2.07,0.08717423716234544,-1.8112261110186134
2.08,0.08460091844004224,-1.5902338901246686
2.09,0.08195409425538283,-1.4182965518991373
2.1,0.07924843391652318,-1.2801457281958912
2.11,0.07649515597130849,-1.1653005511319772
2.12,0.0737030906846527,-1.066572504946199
2.13,0.07087940989551014,-0.9790370515960205
2.14,0.06803012813316962,-0.8993263039026771
2.15,0.06516044644154634,-0.825142515835674
2.16,0.062274988054038125,-0.7549234515042288
2.17,0.059377959719338645,-0.687612217029083
2.18,0.056473261926217266,-0.622498942705688
2.19,0.05356456401730999,-0.5591118845288634
2.2,0.05065535518989945,-0.4971425170887267
2.21,0.047748978948081014,-0.43639400646563775
2.22,0.04484865620905731,-0.3767457646188237
2.23,0.04195750064191979,-0.3181290653510347
2.24,0.03907852869998825,-0.260510269142487
2.25,0.03621466603927218,-0.20387928207372308
2.2600000000000002,0.03336875148700343,-0.14824161545367798
2.27,0.030543539360573843,-0.09361292270097499
2.2800000000000002,0.027741700687082906,-0.040015240756775095
2.29,0.024965823701629013,0.012525595460872285
2.3000000000000003,0.022218413884095237,0.06398173113269945
2.31,0.01950189371272603,0.11432451359720014
2.32,0.01681860225673684,0.1635253313561631
2.33,0.01417079469161545,0.21155618900499845
2.34,0.011560641794208418,0.2583900999356071
2.35,0.008990229456387422,0.3040013531215778
2.36,0.006461558243478702,0.3483656927308154
2.37,0.003976543014939779,0.3914604372300498
2.38,0.001537012618760715,0.4332645563368818
2.39,-0.0008552903330870058,0.4737587184605083
2.4,-0.0031987096037096713,0.5129253173420699
2.41,-0.005491675382414888,0.550748483902591
2.42,-0.007732704246851085,0.5872140874475773
2.43,-0.009920399036092672,0.6223097290989545
2.44,-0.012053448635290526,0.6560247294459145
2.45,-0.014130627672998195,0.6883501118017081
2.46,-0.016150796132636914,0.7192785820377403
2.47,-0.01811289887981907,0.7488045056805037
2.48,-0.020015965107439294,0.7769238827603688
2.49,-0.021859107700584583,0.8036343207661257
2.5,-0.023641522523423657,0.8289350059662708
2.5100000000000002,-0.025362487630320375,0.8528266732941309
2.52,-0.02702136240348316,0.8753115749499605
2.5300000000000002,-0.028617586619516293,0.8963934478428842
2.54,-0.030150679447282953,0.916077479974682
2.5500000000000003,-0.03162023837952589,0.9343702758530072
2.56,-0.03302593810072132,0.9512798210116125
2.57,-0.03436752929366589,0.9668154457081846
2.58,-0.035644837387316455,0.9809877878654615
2.59,-0.03685776124841756,0.9938087553177959
2.6,-0.038006271819463845,1.005291487422736
2.61,-0.03909041070555255,1.0154503160952857
2.62,-0.040110288712686626,1.0243007263209707
2.63,-0.04106608434009075,1.0318593162026173
2.64,-0.04195804222910176,1.0381437565946796
2.65,-0.04278647157119093,1.0431727503780124
2.66,-0.04355174447766905,1.046965991427081
2.67,-0.04425429431361579,1.0495441233207639
2.68,-0.04489461399856306,1.050928697847021
2.69,-0.04547325427644728,1.0511421333508824
2.7,-0.045990821957329,1.0502076729743077
2.71,-0.046447978133358485,1.048149342835603
2.72,-0.046845436371444546,1.0449919101951506
2.73,-0.04718396088505992,1.0407608416532823
2.74,-0.04746436468759035,1.0354822614251507
2.75,-0.04768750772960651,1.0291829097364704
2.7600000000000002,-0.04785429502240755,1.0218901013829835
2.77,-0.04796567475015304,1.013631684495456
2.7800000000000002,-0.04802263637286596,1.0044359995509629
2.79,-0.048026208722553684,0.9943318386701157
2.8000000000000003,-0.04797745809465618,0.9833484052387863
2.81,-0.04787748633699162,0.971515273891765
2.82,-0.04772742893832874,0.9588623508946226
2.83,-0.04752845311867299,0.9454198349589099
2.84,-0.047281755923309854,0.9312181785246333
2.85,-0.04698856232260367,0.9162880495427701
2.86,-0.046650123319503974,0.9006602937893765
2.87,-0.046267714066663815,0.8843658977416351
2.88,-0.045842631995025925,0.8674359520449694
2.89,-0.04537619495568294,0.8499016155991213
2.9,-0.04486973937676716,0.8317940802898613
2.91,-0.044324618437073915,0.8131445363917597
2.92,-0.0437422002580701,0.7939841386662064
2.93,-0.04312386611588644,0.7743439731776333
2.94,-0.04247100867483818,0.7542550248496391
2.95,-0.04178503024396465,0.7337481457814865
2.96,-0.041067341058022976,0.7128540243442059
2.97,-0.040319357584316214,0.6916031550742899
2.98,-0.039542500856679944,0.6700258093817604
2.99,-0.038738194837895715,0.6481520070881382
3.0,-0.037907864811743075,0.6260114888086586
3.0100000000000002,-0.037052935805845545,0.6036336891918485
3.02,-0.03617483104640915,0.5810477110284002
3.0300000000000002,-0.03527497044589545,0.558282300240083
3.04,-0.034354769124614264,0.5353658217582621
3.0500000000000003,-0.03341563596716468,0.5123262363004417
3.06,-0.032458972214596295,0.4891910780520924
3.0700000000000003,-0.03148617009310649,0.4659874332598993
3.08,-0.030498611480033213,0.4427419197414584
3.09,-0.02949766660784713,0.4194806673153315
3.1,-0.028484692806791424,0.39622929915431515
3.11,-0.02746103328676259,0.3730129140636965
3.12,-0.026428015958970843,0.3498560696852414
3.13,-0.02538695229786489,0.32678276662662686
3.14,-0.024339136243752023,0.30381643351504095
3.15,-0.023285843146491857,0.2809799129726781
3.16,-0.022228328750589544,0.2582954485109179
3.17,-0.021167828221962847,0.23578467233902378
3.18,-0.020105555216606577,0.2134685940822991
3.19,-0.01904270099132782,0.19136759040374163
3.2,-0.017980433556676185,0.16950139552237942
3.21,-0.0169198968721448,0.1478890926206299
3.22,-0.015862210083670454,0.12654910613220793
3.23,-0.014808466803414461,0.1054991949013272
3.24,-0.013759734431760417,0.08475644620316841
3.25,-0.012717053521420205,0.06433727061485817
3.2600000000000002,-0.011681437183496063,0.044257397725489867
3.27,-0.010653870535303887,0.024531872673035693
3.2800000000000002,-0.009635310189721417,0.005175053495342308
3.29,-0.008626683785784545,-0.013799390718226695
3.3000000000000003,-0.007628889560215612,-0.03237848088853726
3.31,-0.006642795959529388,-0.05054992823643534
3.3200000000000003,-0.005669241292325379,-0.06830213381565892
3.33,-0.004709033421339235,-0.08562418730459079
3.34,-0.00376294949479132,-0.10250586507302388
3.35,-0.0028317357165370417,-0.11893762754057365
3.36,-0.0019161071544912108,-0.13491061584381112
3.37,-0.001016747586767684,-0.15041664782959913
3.38,-0.00013430938494567298,-0.16544821339249702
3.39,0.0007305865661544693,-0.17999846917445442
3.4,0.0015773509128305344,-0.1940612326453441
3.41,0.0024054258416634625,-0.20763097558318486
3.42,0.003214285054183559,-0.22070281697318056
3.43,0.004003433707757009,-0.23327251534495183
3.44,0.004772408323434119,-0.24533646056755729
3.45,0.005520776661521782,-0.25689166512210104
3.46,0.006248137565662524,-0.2679357548718923
3.47,0.0069541207762210296,-0.27846695935027105
3.48,0.007638386713796423,-0.2884841015863347
3.49,0.008300626233694656,-0.2979865874888974
3.5,0.008940560352210233,-0.30697439480908795
3.5100000000000002,0.009557939945580156,-0.31544806170203976
3.52,0.010152545422485393,-0.3234086749081546
3.5300000000000002,0.01072418637098643,-0.3308578575744247
3.54,0.01127270118078948,-0.3377977567362756
3.5500000000000003,0.011797956641748842,-0.34423103048035764
3.56,0.012299847519518521,-0.3501608348086463
3.5700000000000003,0.012778296109272893,-0.3555908102241287
3.58,0.013233251768421498,-0.3605250680582548
3.59,0.013664690429247475,-0.36496817656020164
3.6,0.014072614092402253,-0.36892514676786237
3.61,0.014457050302191337,-0.3724014181803056
3.62,0.014818051604587037,-0.3754028442512727
3.63,0.01515569498890406,-0.37793567772308473
3.64,0.015470081314072874,-0.38000655582011206
3.65,0.01576133472044379,-0.3816224853207323
3.66,0.01602960202805174,-0.38279082752645344
3.67,0.016275052122267798,-0.38351928314661643
3.68,0.016497875327758715,-0.38381587711681436
3.69,0.016698282771669896,-0.3836889433688744
3.7,0.01687650573694072,-0.38314710956994347
3.71,0.01703279500665356,-0.38219928184789964
3.72,0.017167420200309546,-0.38085462951998394
3.73,0.01728066910291506,-0.3791225698411985
3.74,0.01737284698775296,-0.3770127527886739
3.75,0.01744427593370195,-0.3745350458978343
3.7600000000000002,0.017495294137956145,-0.3716995191658219
3.77,0.01752625522498472,-0.36851643003725765
3.7800000000000002,0.017537527552558902,-0.3649962084870225
3.79,0.01752949351566009,-0.3611494422143423
3.8000000000000003,0.01750254884906891,-0.3569868619620573
3.81,0.017457101929420384,-0.3525193269745363
3.8200000000000003,0.01739357307749534,-0.34775781060727806
3.83,0.01731239386150233,-0.3427133861008174
3.84,0.017214006402088262,-0.33739721253111976
3.85,0.017098862679799216,-0.33182052094820946
3.86,0.016967423845695797,-0.32599460071434405
3.87,0.016820159535809825,-0.3199307860525945
3.88,0.016657547190111224,-0.31364044281625075
3.89,0.016480071376635624,-0.3071349554890206
3.9,0.016288223121404623,-0.30042571442553656
3.91,0.01608249924475155,-0.2935241033412418
3.92,0.015863401704646448,-0.2864414870602589
3.93,0.01563143694759442,-0.2791891995294075
3.94,0.015387115267661712,-0.2717785321060724
3.95,0.015130950174163986,-0.2642207221271762
3.96,0.014863457768531119,-0.25652694176605934
3.97,0.0145851561308425,-0.24870828718361765
3.98,0.014296564716506449,-0.2407757679796056
3.99,0.013998203763536794,-0.23274029694956264
4.0,0.013690593710859074,-0.22461268015238126
4.01,0.013374254628058146,-0.21640360729309707
4.0200000000000005,0.013049705656958262,-0.2081236424250448
4.03,0.012717464465405998,-0.19978321497509427
4.04,0.0123780467136057,-0.19139261109525502
4.05,0.012031965533336441,-0.18296196534351755
4.0600000000000005,0.011679731020358878,-0.1745012526963806
4.07,0.011321849740299879,-0.16602028089510787
4.08,0.010958824248282342,-0.15752868312735113
4.09,0.010591152622547303,-0.14903591104538008
4.1,0.010219328012295291,-0.14055122812176568
4.11,0.009843838199953821,-0.13208370334298475
4.12,0.009465165178058114,-0.12364220524103109
4.13,0.009083784740912459,-0.11523539626275159
4.14,0.008700166091180205,-0.10687172747626503
4.15,0.008314771461531159,-0.09855943361346434
4.16,0.007928055751456215,-0.09030652844726032
4.17,0.0075404661793403065,-0.0821208005018861
4.18,0.007152441949866388,-0.07400980909425345
4.19,0.006764413936804977,-0.06598088070403138
4.2,0.006376804381225981,-0.058041105669807885
4.21,0.005990026605152011,-0.050197335208392146
4.22,0.005604484740655184,-0.04245617875402388
4.23,0.005220573474382609,-0.03482400161397098
4.24,0.004838677807479219,-0.02730692293672539
4.25,0.004459172830860526,-0.01991081398874056
4.26,0.004082423515772097,-0.012641296735401764
4.2700000000000005,0.003708784519557201,-0.005503742721674143
4.28,0.0033386000065391106,0.0014967277523608852
4.29,0.0029722034839099417,0.00835524616609376
4.3,0.002609917652503797,0.015067196028329746
4.3100000000000005,0.002252054272318201,0.021628212848019433
4.32,0.001898914042634513,0.02803418383140597
4.33,0.0015507864965751098,0.034281247311402266
4.34,0.0012079499099226713,0.04036579191518636
4.3500000000000005,0.0008706712240148917,0.04628445547616817
4.36,0.0005392059825163628,0.052034123696635216
4.37,0.00021379828185825615,0.05761192856753003
4.38,-0.00010531926487424898,0.06301524655194685
4.39,-0.00041792555083705645,0.06824169653905997
4.4,-0.0007238109853447995,0.07328913757531161
4.41,-0.0010227774910603826,0.07815566637979252
4.42,-0.0013146384887146097,0.0828396146508442
4.43,-0.0015992188696224827,0.08733954617099837
4.44,-0.0018763549562706848,0.0916542537174453
4.45,-0.002145894451258242,0.09578275578529094
4.46,-0.0024076963748793714,0.09972429313092016
4.47,-0.0026616309916440936,0.10347832514283295
4.48,-0.002907579726038289,0.10704452604736035
4.49,-0.003145435067830551,0.1104227809566978
4.5,-0.0033751004672383867,0.11361318176671649
4.51,-0.0035964902202710925,0.1166160229120271
4.5200000000000005,-0.0038095293445709567,0.11943179698577515
4.53,-0.004014153446078329,0.1220611902316456
4.54,-0.0042103085768495615,0.1245050779155424
4.55,-0.004397951084359843,0.12676451958439058
4.5600000000000005,-0.004577047452625574,0.12884075421948185
4.57,-0.004747574135483114,0.13073519529175023
4.58,-0.004909517382362505,0.13244942572632415
4.59,-0.005062873056896172,0.1339851927836507
4.6000000000000005,-0.0052076464487035715,0.13534440286443494
4.61,-0.005343852078693343,0.13652911624557243
4.62,-0.005471513498224736,0.13754154175418565
4.63,-0.005590663082469908,0.13838403138680005
4.64,-0.005701341818318158,0.1390590748806132
4.65,-0.00580359908716225,0.13956929424372325
4.66,-0.00589749244290574,0.13991743825109115
4.67,-0.005983087385528626,0.14010637691291156
4.68,-0.006060457130546712,0.1401390959219628
4.69,-0.006129682374697806,0.14001869108640017
4.7,-0.006190851058185325,0.13974836275433963
4.71,-0.00624405812380699,0.13933141023646348
4.72,-0.006289405273293088,0.13877122623275542
4.73,-0.006327000721175365,0.13807129126934542
4.74,-0.006356958946503808,0.13723516815131487
4.75,-0.006379400442724593,0.13626649643717736
4.76,-0.006394451466028179,0.13516898694061164
4.7700000000000005,-0.006402243782472018,0.13394641626488257
4.78,-0.006402914414177542,0.13260262137524226
4.79,-0.006396605384896147,0.1311414942144537
4.8,-0.0063834634652336145,0.12956697636643183
4.8100000000000005,-0.006363639917817022,0.12788305377284273
4.82,-0.00633729024268254,0.12609375150734792
4.83,-0.006304573923156701,0.1242031286120236
4.84,-0.006265654172497732,0.12221527300032667
4.8500000000000005,-0.006220697681557347,0.12013429643081848
4.86,-0.0061698743677170995,0.11796432955569713
4.87,-0.006113357125346891,0.11570951704802564
4.88,-0.006051321578026609,0.11337401281137965
4.89,-0.0059839458327651555,0.11096197527547466
4.9,-0.005911410236444198,0.10847756278116784
4.91,-0.005833897134707067,0.10592492905806328
4.92,-0.005751590633506081,0.10330821879778547
4.93,-0.005664676363514464,0.10063156332581864
4.94,-0.005573341247601735,0.09789907637464614
4.95,-0.005477773271564149,0.09511484996075736
4.96,-0.005378161258294384,0.09228295036792566
4.97,-0.0052746946455672315,0.08940741423899853
4.98,-0.005167563267610566,0.086492244778275
4.99,-0.005056957140623374,0.08354140806638717
5.0,-0.0049430662523950696,0.08055882948943861
5.01,-0.004826080356172773,0.07754839028399518
5.0200000000000005,-0.004706188768915676,0.07451392419936484
5.03,-0.0045835801740680485,0.07145921427844666
5.04,-0.0044584424289748825,0.06838798975827456
5.05,-0.00433096237705665,0.06530392309122898
5.0600000000000005,-0.004201325664852118,0.06221062708773836
5.07,-0.004069716564030706,0.05911165218114385
5.08,-0.003936317798468399,0.05601048381525428
5.09,-0.0038013103764738807,0.05291053995497429
5.1000000000000005,-0.0036648734282441623,0.04981516872024727
5.11,-0.00352718404862174,0.04672764614341512
5.12,-0.0033884171452180836,0.043651174049961224
5.13,-0.0032487452919611292,0.04058887806246887
5.14,-0.003108338588117387,0.03754380572749709
5.15,-0.002967364522832309,0.03451892476494792
5.16,-0.002825987845225679,0.03151712143937443
5.17,-0.0026843704400720102,0.02854119905255708
5.18,-0.0025426712090892522,0.025593876556557968
5.19,-0.002401045957852549,0.022677787286346354
5.2,-0.002259647288343328,0.01979547781097831
5.21,-0.002118624497137662,0.016949406902203375
5.22,-0.001978123479231641,0.014141944619266732
5.23,-0.001838286637495385,0.011375371508573734
5.24,-0.001699252797741398,0.008651877916784581
5.25,-0.0015611571293871155,0.005973563415813413
5.26,-0.0014241310716858358,0.0033424363381137773
5.2700000000000005,-0.0012883022654946736,0.0007604134205457143
5.28,-0.0011537944905427807,-0.001770680444964673
5.29,-0.0010207276081578346,-0.004249112355842674
5.3,-0.0008892175094036951,-0.006673241440305247
5.3100000000000005,-0.000759376068577189,-0.009041518797843356
5.32,-0.0006313111020071923,-0.011352487340834796
5.33,-0.0005051263320945532,-0.013604781539441658
5.34,-0.00038092135652692733,-0.015797127072008546
